RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0092,004,00422,01,01,1,48,02,01,2006,2,65,611,1,233,25,1,723,60,2,,,02,2008,1,0072000,1,2,,2,,000373.8347,1
01,0093,004,00422,02,02,2,41,03,08,2007,2,04,021,1,231,24,1,913,60,2,,,08,2009,1,0020000,1,1,0090000,1,0018500,000403.4628,1
01,0094,004,00422,05,04,2,45,02,03,2006,2,04,913,1,214,24,1,913,59,2,,,03,2008,1,0030000,1,2,,1,0007000,000366.5798,1
01,0094,004,00422,07,04,2,48,02,03,2006,1,04,913,1,211,25,1,913,59,2,,,04,2008,1,0030000,1,2,,2,,000366.5798,1
01,0095,001,00417,03,03,2,41,01,09,2004,1,02,921,1,232,23,1,913,23,1,08,2006,,,2,,,2,,2,,000427.0951,2
01,0096,001,00417,01,01,1,32,01,10,2006,1,04,113,1,213,36,1,812,11,2,,,10,2009,1,0030000,4,2,,2,,000497.7643,1
01,0097,001,00417,03,03,2,24,01,04,2007,1,04,913,1,213,36,1,913,05,2,,,04,2010,1,0007000,1,2,,2,,000477.7692,1
01,0098,001,00417,01,01,1,37,04,12,2006,2,05,611,1,400,10,1,834,50,2,,,10,2007,1,0110000,1,2,,2,,000426.5030,1
01,0099,001,00417,01,01,1,49,02,02,2007,2,04,832,1,233,13,1,143,55,2,,,03,2008,1,0108000,1,2,,2,,000395.7315,1
01,0100,001,00417,06,03,2,35,01,09,2004,3,04,911,1,222,88,1,913,36,2,,,88,8888,1,0030000,1,2,,1,0010000,000427.0951,1
